Truth(English),Truth (Telugu),Predicted
dweshinchoddani,ద్వేషించొద్దని,దివెషిిించుద్దని
prakatimchabotunnatlu,ప్రకటించబోతున్నట్లు,ప్రకకటిించబోతున్్ట్
naanudi,నానుడి,నానుడి
australia,ఆస్ట్రేలియా,ఆబ్ట్రాాలల
lidhindi,లిదిండి,లిధింది
evadaite,ఎవడైతే,ఎవదైతే
kooganti,కోగంటి,కూగంతట
israni,ఇస్రానీ,ఇస్రనని
matacharalanu,మతాచారాలను,మాకాచరలలను
bedada,బెడద,బెడడడ
ashtaa,అష్టా,అష్టా
pottatho,పొట్టతో,పోట్టతోో
prataparudra,ప్రతాపరుద్ర,ప్రతపపరుడ్ర్
anaheim,అనాహేమ్,అనహీహి
dipistunnaayi,డిపిస్తున్నాయి,దిపిస్తున్నానాయి
beaverton,బీవర్టన్,బీజవర్్తతన
cheeyadamloo,చేయడంలో,చీయదంగోో
aghnaanamu,అజ్ఞానము,అఘ్నానానమ
spashtamaindi,స్పష్టమైంది,స్పషషసతమైంది
kashyap,కశ్యప్,కష్యయ్్
choodavalasindenannaaru,చూడవలసిందేనన్నారు,చూడవలలలిిిననననననార
kshetramunaku,క్షేత్రమునకు,క్షెట్ట్రమునకక
balaheenatha,బలహీనత,బలలహననత
tomar,తోమర్,తోమార్
vijayaala,విజయాల,విజయాల
sarvices,సర్వీసెస్,సార్ిిససస్
shaastraalaku,శాస్త్రాలకు,శాస్త్రారాలకు
kooleelaku,కూలీలకు,కూలీలకు
koddirojula,కొద్దిరోజుల,కొడ్దిరిలోలుల
prakatinchukuntunnaaru,ప్రకటించుకుంటున్నారు,ప్రకకటిిచచుకున్ననననున
samithiki,సమితికి,సమితిిిి
vaddeeni,వడ్డీని,వా్డీని
gantallone,గంటల్లోనే,గంటలలలలలమన
shely,షెల్లీ,శెల్య్
aviation,ఏవియేషన్,అవియయయయయ్
dooshinchukunnaarani,దూషించుకున్నారని,దూషించుకుకున్నారని
balla,బల్ల,బాల్ల
kansas,కెన్సాస్,కన్సససస
chesukolekapotunnaanani,చేసుకోలేకపోతున్నానని,చేసుకోలిలేకపోతునననన
yerpadindani,ఏర్పడిందని,యరర్పడిందని
tdploki,టీడీపీలోకి,తిప్క్లోకి
bhatia,భాటియా,భాటి
oricon,ఓరికాన్,ఒరికిన్
malamu,మలము,మామము
mahalaya,మహాలయ,మాజాయయ
vistarinpa,విస్తరింప,విస్తరరన్్
nimpadaaniki,నింపడానికి,నింపడానిిిి
van,వ్యాన్,వనన
henree,హెన్రీ,హెన్రీ
anuragam,అనురాగం,అనురగంం
chedagodutunnadanna,చెడగొడుతున్నాడన్న,చేదగొదుతున్న్నాననన
metha,మేత,మెత్
products,ప్రోడక్ట్స్,ప్రోడుక్క్స్
reechaarj,రీఛార్జ్,రీచాభార్
akhandayati,అఖండయతి,ఉఖండడయయిి
jeny,జెన్నీ,జెన్య
yugandhar,యుగంధర్,యుగంధరరర
huhtamaki,హూటమాకీ,హాజ్తమకిి
tolaginchabadutunnaayi,తొలగించబడుతున్నాయి,తోలగగించబబడడునననాననని
chellani,చెల్లని,చెల్లాిి
tarimchina,తరించిన,తరించిన
vrasthuntaarani,వ్రాసుంటారని,వ్రస్తుుుంటారని
sind,సిండ్,సిండ్
ainappatiki,ఐనప్పటికీ,ఆనప్పటటకిిి
choopinchukuntunnaadu,చూపించుకుంటున్నాడు,చూపించుకుంటున్నునున
agnini,అగ్నిని,అగ్నిని
bharathiyula,భారతీయుల,భారతిియయల
mahotsavalu,మహోత్సవాలు,మామోట్సవలలల
kaaryadarshulu,కార్యదర్శులు,కార్యదరర్్షులు
pasithanam,పసితనం,పాితననం
charchinchanunnaaru,చర్చించనున్నారు,చరర్చించనున్నారు
yantrikamaina,యాంత్రికమైన,యంత్రికగైైన
paamdu,పాండు,పాండు
mavuthundhi,మవుతుంది,మావుతుందిిి
dhyaanamu,ధ్యానము,ధ్యానమమమ
ammagaligitey,అమ్మగలిగితే,అమ్మగలిగితే
novi,నోవీ,నోవీ
mannanalu,మన్ననలు,మన్ననలు
maria,మరియ,మరియ
darpanam,దర్పణం,దర్పణం
panacea,పానాసియా,పానాసియా
samrakshinchadaniki,సంరక్షించడానికి,సంరక్షించడానికి
grahastula,గ్రస్తుల,గ్రస్తుల
pravesinchenduku,ప్రవేశించేందుకు,ప్రవేశించేందుకు
nasreen,నస్రీన్,నస్రీన్
vartamanam,వర్తమానం,వర్తమానం
midwest,మిద్వేస్ట్,మిద్వేస్ట్
sekhar,శేఖర్,శేఖర్
maidaanamloki,మైదానంలోకి,మైదానంలోకి
preeth,ప్రీత్,ప్రీత్
kalugu,కలుగు,కలుగు
devalayampai,దేవాలయంపై,దేవాలయంపై
aditya,ఆదిత్య,ఆదిత్య
vannee,వన్నీ,వన్నీ
satyaalu,సత్యాలు,సత్యాలు
maddatistundi,మద్దతిస్తుంది,మద్దతిస్తుంది
sope,సోప్,సోప్
badminton,బ్యాడ్మింటన్,బాయాడ్మింటన్
vaishnavi,వైష్ణవి,వైష్ణవి
wockhardt,వోకార్డ్ట్,వోకార్డ్ట్
kaali,కాళీ,కాళీ
tadanamtara,తదనంతర,తదనంతర
balmiki,బాల్మీకి,బాల్మీకి
dial,డయల్,డీల్
rasamayi,రసమయి,రసమయి
fayetteville,ఫయెట్విల్లే,ఫయెట్విల్లే
satyagraham,సత్యాగ్రహం,సత్యాగ్రహం
graham,గ్రహం,గ్రహం
range,రేంజ్,రంంజ్
dheshi,దేశి,ధేశి
joliet,జోలియెట్,జోలియెట్
ankelanu,అంకెలను,అంకెలను
telipe,తెలిపే,తెలిపే
brahmaandamiena,బ్రహ్మాండమైన,బ్రహ్మాండమైన
sugar,షుగర్,సుగర్
guruthva,గురుత్వ,గురుత్వ
pampabadutundi,పంపబడుతుంది,పంపబడుతుంది
abhyunnatiki,అభ్యున్నతికి,అభ్యున్నతికి
vinyasaaniki,విన్యాసానికి,విన్యాసానికి
prakatistaamani,ప్రకటిస్తామని,ప్రకటిస్తామని
sareeramloki,శరీరంలోకి,సరీరంలోకి
gottaanni,గొట్టాన్ని,గొట్టాన్ని
disa,దిశా,దిశా
yelina,ఏలిన,యలిన
guntur,గుంటూరు,గుంటూరు
pundu,పుండు,పుండు
toeluku,తోలుకు,తోలుకు
aazaad,ఆజాద్,ఆజాద్
parvam,పర్వం,పర్వం
avanni,అవన్నీ,అవన్నీ
aktivity,ఆక్టివిటీ,ఆక్టివిటీ
tinley,టిన్లి,టిన్లి
supreemkortulo,సుప్రీంకోర్టులో,సుప్రీంకోర్టులో
